Contingency,Converged,FromBus#,ToBus#,CKT,Pij(MW),Qij(MVAr),Sij(MVA),Pji(MW),Qji(MVAr),Sji(MVA),RateA,Ploss(MW),Qloss(MVAr),Loading_%,Violation
LT_101-102_A1,True,111.0,114.0,19,112.000191,-7.595068,112.257423,-111.302072,13.459268,112.112903,500.0,0.698119,5.8642,22.45,False
LT_101-102_A1,True,112.0,113.0,20,-196.968094,32.781647,199.677414,199.634623,-11.449411,199.962676,500.0,2.666529,21.332235,39.94,False
LT_101-102_A1,True,112.0,123.0,21,6.428977,-9.481603,11.455677,-6.42348,9.526037,11.489407,500.0,0.005497,0.044434,2.29,False
LT_101-102_A1,True,113.0,123.0,22,117.265678,-16.766363,118.458221,-115.580709,30.092937,119.43402,500.0,1.684969,13.326573,23.69,False
LT_101-102_A1,True,113.0,215.0,B2,318.939301,-19.378752,319.527496,-307.651507,104.037199,324.76636,500.0,11.287793,84.658447,63.91,False
LT_101-102_A1,True,114.0,116.0,23,24.645226,-22.990318,33.703739,-24.590349,23.637862,34.109145,500.0,0.054877,0.647543,6.74,False
LT_101-102_A1,True,115.0,116.0,24,-99.726936,41.463306,108.00309,99.982261,-39.293051,107.426236,500.0,0.255324,2.170255,21.6,False
LT_101-102_A1,True,115.0,121.0,1,-0.904235,-8.161449,8.211389,0.905038,8.168005,8.217992,500.0,0.000803,0.006555,1.64,False
LT_101-102_A1,True,115.0,121.0,2,-0.904235,-8.161449,8.211389,0.905038,8.168005,8.217992,500.0,0.000803,0.006555,1.64,False
LT_101-102_A1,True,115.0,124.0,26,21.936375,5.996199,22.741129,-21.89073,-5.657122,22.609889,500.0,0.045645,0.339077,4.55,False
LT_101-102_A1,True,116.0,117.0,27,28.815451,-18.836819,34.426094,-28.77947,19.148651,34.567741,500.0,0.035981,0.311832,6.89,False
LT_101-102_A1,True,116.0,119.0,28,-86.875877,35.781921,93.956184,87.170913,-33.519982,93.393561,500.0,0.295036,2.26194,18.79,False
LT_101-102_A1,True,117.0,118.0,29,23.517437,5.372019,24.123194,-23.50444,-5.281042,24.090415,500.0,0.012997,0.090977,4.82,False
LT_101-102_A1,True,117.0,122.0,30,5.26203,-19.472418,20.17087,-5.244701,19.602384,20.291879,500.0,0.017329,0.129967,4.03,False
LT_101-102_A1,True,118.0,121.0,1,22.379229,-23.66674,32.572144,-22.348271,23.935036,32.746468,500.0,0.030957,0.268296,6.51,False
LT_101-102_A1,True,118.0,121.0,2,22.379229,-23.66674,32.572144,-22.348271,23.935036,32.746468,500.0,0.030957,0.268296,6.51,False
LT_101-102_A1,True,119.0,120.0,1,-84.010414,10.722432,84.691917,84.412936,-7.502256,84.745664,500.0,0.402522,3.220176,16.94,False
LT_101-102_A1,True,119.0,120.0,2,-84.010414,10.722432,84.691917,84.412936,-7.502256,84.745664,500.0,0.402522,3.220176,16.94,False
LT_101-102_A1,True,120.0,123.0,1,-113.000763,9.179978,113.373032,113.430226,-6.03058,113.590423,500.0,0.429463,3.149399,22.67,False
LT_101-102_A1,True,120.0,123.0,2,-113.000763,9.179978,113.373032,113.430226,-6.03058,113.590423,500.0,0.429463,3.149399,22.67,False
LT_101-102_A1,True,121.0,122.0,34,-5.236516,-14.157236,15.094648,5.244727,14.219275,15.15569,500.0,0.008211,0.062039,3.02,False
LT_101-102_A1,True,121.0,325.0,1,444.122894,49.846725,446.911438,-418.168055,159.954895,447.716529,500.0,25.95484,209.80162,89.38,False
LT_101-102_A1,True,123.0,217.0,B3,163.143768,-49.772949,170.567398,-159.994948,73.074221,175.892652,500.0,3.14882,23.301271,34.11,False
LT_101-102_A1,True,201.0,202.0,B1,14.080993,-30.937546,33.991264,-14.071299,30.982784,34.028434,175.0,0.009694,0.045238,19.42,False
LT_101-102_A1,True,201.0,203.0,B2,-56.62326,28.342878,63.320713,59.127739,-18.734788,62.024848,175.0,2.504479,9.60809,36.18,False
LT_101-102_A1,True,201.0,205.0,B3,23.720778,-9.744989,25.644493,-23.567226,10.338256,25.735067,175.0,0.153551,0.593266,14.65,False
LT_101-102_A1,True,202.0,204.0,B4,6.983139,12.012634,13.894876,-6.89926,-11.689828,13.573941,175.0,0.083879,0.322806,7.94,False
LT_101-102_A1,True,202.0,206.0,B5,19.374496,-11.739309,22.65353,-19.121914,12.709227,22.960227,175.0,0.252583,0.969917,12.94,False
LT_101-102_A1,True,203.0,209.0,B6,85.045334,-21.830406,87.802475,-82.312295,32.321749,88.430817,175.0,2.733039,10.491343,50.17,False
LT_101-102_A1,True,203.0,224.0,B7,-94.082985,-8.454167,94.462059,94.288638,17.091581,95.825202,400.0,0.205653,8.637414,23.62,False
LT_101-102_A1,True,204.0,209.0,B8,-29.500866,7.361403,30.405449,29.791279,-6.242774,30.43834,175.0,0.290413,1.118629,17.37,False
LT_101-102_A1,True,205.0,210.0,B9,-11.357224,-15.115918,18.907076,11.438619,15.427342,19.205335,175.0,0.081395,0.311424,10.8,False
LT_101-102_A1,True,206.0,210.0,10,-47.77562,-115.160576,124.677452,48.117423,116.649862,126.184297,175.0,0.341803,1.489286,71.24,False
LT_101-102_A1,True,207.0,208.0,11,-17.486696,23.683483,29.439631,17.646894,-23.072728,29.04761,175.0,0.160198,0.610755,16.82,False
LT_101-102_A1,True,208.0,209.0,1,-58.892105,17.730757,61.503334,60.779483,-10.488494,61.677824,175.0,1.887378,7.242262,35.14,False
LT_101-102_A1,True,208.0,210.0,2,-42.868595,-10.360314,44.102749,43.802329,13.943246,45.968012,175.0,0.933734,3.582932,25.2,False
LT_101-102_A1,True,209.0,211.0,14,-51.27375,-10.059978,52.25132,51.33601,12.674883,52.877581,400.0,0.06226,2.614905,13.06,False
LT_101-102_A1,True,209.0,212.0,15,-43.066097,-14.039953,45.296898,43.112887,16.005114,45.987876,400.0,0.04679,1.965161,11.32,False
LT_101-102_A1,True,210.0,211.0,16,-103.806648,38.444252,110.696793,104.064756,-27.603732,107.663547,400.0,0.258108,10.84052,27.67,False
LT_101-102_A1,True,210.0,212.0,17,-95.47097,33.905773,101.312927,95.687173,-24.825275,98.855092,400.0,0.216202,9.080498,25.33,False
LT_101-102_A1,True,211.0,213.0,18,-54.601254,-1.347046,54.617863,54.801068,2.945563,54.880173,500.0,0.199815,1.598517,10.92,False
LT_101-102_A1,True,211.0,214.0,19,-100.7995,16.276005,102.10508,101.387891,-11.333514,102.019376,500.0,0.588392,4.942491,20.42,False
LT_101-102_A1,True,212.0,213.0,20,-68.775955,6.948985,69.126114,69.098633,-4.367564,69.236527,500.0,0.322678,2.581421,13.83,False
LT_101-102_A1,True,212.0,223.0,21,-70.024078,1.871342,70.04908,70.691169,3.520972,70.7788,500.0,0.66709,5.392314,14.01,False
LT_101-102_A1,True,213.0,223.0,22,-40.251522,-3.574707,40.409943,40.451618,5.157284,40.779051,500.0,0.200096,1.582577,8.08,False
LT_101-102_A1,True,214.0,216.0,23,-196.815247,0.032559,196.815247,198.98397,25.55838,200.618671,500.0,2.168723,25.590939,39.36,False
LT_101-102_A1,True,215.0,216.0,24,220.934296,-29.486042,222.893219,-219.85833,38.631747,223.22656,500.0,1.075965,9.145705,44.58,False
LT_101-102_A1,True,215.0,221.0,1,-60.105133,-36.503654,70.321716,60.405952,38.960344,71.880369,500.0,0.300819,2.45669,14.06,False
LT_101-102_A1,True,215.0,221.0,2,-60.105133,-36.503654,70.321716,60.405952,38.960344,71.880369,500.0,0.300819,2.45669,14.06,False
LT_101-102_A1,True,215.0,224.0,26,94.997238,12.465271,95.811577,-94.288638,-7.201382,94.563244,500.0,0.7086,5.263889,19.16,False
LT_101-102_A1,True,216.0,217.0,27,-213.633011,-24.559446,215.04007,215.130688,37.539316,218.381348,500.0,1.497677,12.97987,43.01,False
LT_101-102_A1,True,216.0,219.0,28,247.318008,11.38097,247.579712,-245.325851,3.892239,245.356725,500.0,1.992158,15.273209,49.52,False
LT_101-102_A1,True,217.0,218.0,29,-48.201511,-71.872734,86.539444,48.354642,72.94465,87.516246,500.0,0.153131,1.071916,17.31,False
LT_101-102_A1,True,217.0,222.0,30,-6.934224,-19.207222,20.420597,6.952414,19.343643,20.555111,500.0,0.018189,0.136421,4.08,False
LT_101-102_A1,True,218.0,221.0,1,-21.077606,23.247042,31.379778,21.112011,-22.948869,31.182809,500.0,0.034405,0.298173,6.28,False
LT_101-102_A1,True,218.0,221.0,2,-21.077606,23.247042,31.379778,21.112011,-22.948869,31.182809,500.0,0.034405,0.298173,6.28,False
LT_101-102_A1,True,219.0,220.0,1,78.146568,-8.803934,78.640923,-77.808277,11.510266,78.655033,500.0,0.338291,2.706331,15.73,False
LT_101-102_A1,True,219.0,220.0,2,78.146568,-8.803934,78.640923,-77.808277,11.510266,78.655033,500.0,0.338291,2.706331,15.73,False
LT_101-102_A1,True,220.0,223.0,1,46.327068,-10.393309,47.478607,-46.253525,10.932627,47.528001,500.0,0.073543,0.539318,9.5,False
LT_101-102_A1,True,220.0,223.0,2,46.327068,-10.393309,47.478607,-46.253525,10.932627,47.528001,500.0,0.073543,0.539318,9.5,False
LT_101-102_A1,True,221.0,222.0,34,6.96408,-15.548968,17.037277,-6.952413,15.637115,17.113019,500.0,0.011666,0.088147,3.41,False
LT_101-102_A1,True,223.0,318.0,1,311.36264,-40.284962,313.957916,-297.298723,152.796299,334.265224,500.0,14.063917,112.511337,62.79,False
LT_101-102_A1,True,301.0,302.0,C1,14.855904,-37.054317,39.921425,-14.841083,37.123479,39.980126,175.0,0.01482,0.069162,22.81,False
LT_101-102_A1,True,301.0,303.0,C2,-39.29282,24.077915,46.083313,40.622665,-18.976147,44.836314,175.0,1.329845,5.101768,26.33,False
LT_101-102_A1,True,301.0,305.0,C3,-0.80012,7.085783,7.130815,0.815951,-7.024618,7.071848,175.0,0.015831,0.061165,4.07,False
LT_101-102_A1,True,302.0,304.0,C4,-7.014432,22.932995,23.981752,7.24345,-22.051626,23.210811,175.0,0.229017,0.881369,13.7,False
LT_101-102_A1,True,302.0,306.0,C5,3.669712,-0.098376,3.671031,-3.659613,0.137157,3.662182,175.0,0.010099,0.038782,2.1,False
LT_101-102_A1,True,303.0,309.0,C6,15.073495,-6.851538,16.55759,-14.982595,7.200476,16.623027,175.0,0.0909,0.348939,9.46,False
LT_101-102_A1,True,303.0,324.0,C7,-171.08728,7.266737,171.241531,171.756657,20.847067,173.017194,400.0,0.669376,28.113804,42.81,False
LT_101-102_A1,True,304.0,309.0,C8,-54.683758,15.527437,56.845535,55.685996,-11.666965,56.895063,175.0,1.002238,3.860472,32.48,False
LT_101-102_A1,True,305.0,310.0,C9,-46.333138,0.182535,46.333496,46.869769,1.870662,46.907085,175.0,0.536631,2.053197,26.48,False
LT_101-102_A1,True,306.0,310.0,10,-83.528664,-105.760803,134.767883,84.594116,110.403129,139.086359,175.0,1.065452,4.642326,77.01,False
LT_101-102_A1,True,307.0,308.0,11,-36.136448,21.97253,42.292259,36.479256,-20.665576,41.926151,175.0,0.342808,1.306955,24.17,False
LT_101-102_A1,True,308.0,309.0,1,-78.924194,11.636748,79.777451,82.227577,1.039022,82.234141,175.0,3.303383,12.675771,45.59,False
LT_101-102_A1,True,308.0,310.0,2,-67.181412,-11.977797,68.240814,69.559304,21.102268,72.689769,175.0,2.377892,9.124472,38.99,False
LT_101-102_A1,True,309.0,311.0,14,-99.872177,-8.455883,100.2295,100.100438,18.042838,101.713528,400.0,0.228261,9.586955,25.06,False
LT_101-102_A1,True,309.0,312.0,15,-135.249023,-2.061068,135.264725,135.664752,19.521648,137.062101,400.0,0.415728,17.460581,33.82,False
LT_101-102_A1,True,310.0,311.0,16,-144.8638,34.359715,148.882874,145.334524,-14.589323,146.064959,400.0,0.470724,19.770391,37.22,False
LT_101-102_A1,True,310.0,312.0,17,-181.171585,42.394943,186.065781,181.906792,-11.516253,182.270966,400.0,0.735207,30.878691,46.52,False
LT_101-102_A1,True,311.0,313.0,18,-144.459167,-26.333895,146.839783,145.87192,37.635913,150.64886,500.0,1.412752,11.302018,29.37,False
LT_101-102_A1,True,311.0,314.0,19,-100.974892,22.880224,103.534698,101.577106,-17.821621,103.128651,500.0,0.602215,5.058603,20.71,False
LT_101-102_A1,True,312.0,313.0,20,-80.876953,-40.713493,90.546509,81.398182,44.883323,92.952551,500.0,0.521229,4.169829,18.11,False
LT_101-102_A1,True,312.0,323.0,21,-236.696335,32.708492,238.945602,244.368141,29.305271,246.119051,500.0,7.671806,62.013763,47.79,False
LT_101-102_A1,True,313.0,323.0,22,-227.161713,51.415478,232.9077,233.552767,-0.86805,233.55438,500.0,6.391054,50.547428,46.58,False
LT_101-102_A1,True,314.0,316.0,23,-225.94278,0.750221,225.944016,228.79215,32.872349,231.1416,500.0,2.84937,33.62257,45.19,False
LT_101-102_A1,True,315.0,316.0,24,-35.76759,34.267406,49.533577,35.822088,-33.804171,49.253872,500.0,0.054498,0.463236,9.91,False
LT_101-102_A1,True,315.0,321.0,1,-137.768829,-59.66515,150.133865,139.16575,71.073331,156.264277,500.0,1.39692,11.408181,30.03,False
LT_101-102_A1,True,315.0,321.0,2,-137.768829,-59.66515,150.133865,139.16575,71.073331,156.264277,500.0,1.39692,11.408181,30.03,False
LT_101-102_A1,True,315.0,324.0,26,174.079269,28.126139,176.336807,-171.750657,-10.827873,172.091635,500.0,2.328613,17.298265,35.27,False
LT_101-102_A1,True,316.0,317.0,27,-187.094299,-78.068054,202.728622,188.402414,89.405051,208.539524,500.0,1.308115,11.336997,40.55,False
LT_101-102_A1,True,316.0,319.0,28,-79.625893,27.059988,84.098312,79.857326,-25.285662,83.764893,500.0,0.231434,1.774326,16.82,False
LT_101-102_A1,True,317.0,318.0,29,-164.366653,-43.301338,169.974701,164.949548,47.381599,171.61984,500.0,0.582895,4.080261,33.99,False
LT_101-102_A1,True,317.0,322.0,30,-24.036491,-40.822472,47.373276,24.245394,42.389239,48.833254,500.0,0.208902,1.566767,9.47,False
LT_101-102_A1,True,318.0,321.0,1,44.430237,-34.979485,56.547417,-44.34041,35.757984,56.962315,500.0,0.089827,0.778499,11.31,False
LT_101-102_A1,True,318.0,321.0,2,44.430237,-34.979485,56.547417,-44.34041,35.757984,56.962315,500.0,0.089827,0.778499,11.31,False
LT_101-102_A1,True,319.0,320.0,1,-97.946121,3.059548,97.993889,98.467144,1.108631,98.473384,500.0,0.521022,4.168179,19.6,False
LT_101-102_A1,True,319.0,320.0,2,-97.946121,3.059548,97.993889,98.467144,1.108631,98.473384,500.0,0.521022,4.168179,19.6,False
LT_101-102_A1,True,320.0,323.0,1,-139.496429,-1.73873,139.507263,140.123362,6.336235,140.266548,500.0,0.626932,4.597505,27.9,False
LT_101-102_A1,True,320.0,323.0,2,-139.496429,-1.73873,139.507263,140.123362,6.336235,140.266548,500.0,0.626932,4.597505,27.9,False
LT_101-102_A1,True,321.0,322.0,34,-19.663162,-32.290138,37.805988,19.75262,32.966044,38.430795,500.0,0.089458,0.675905,7.56,False
LT_101-102_A1,True,323.0,325.0,35,-418.168213,160.463821,447.898773,418.168213,-141.264242,441.384459,722.0,0.0,19.199579,62.04,False
LT_101-103_A2,True,101.0,102.0,A1,3.54316,-32.516186,32.70866,-3.538662,32.537175,32.729037,175.0,0.004498,0.020989,18.69,False
LT_101-103_A2,True,101.0,105.0,A3,8.214885,-6.440145,10.438382,-8.191926,6.528848,10.475377,175.0,0.022958,0.088703,5.96,False
LT_101-103_A2,True,102.0,104.0,A4,11.324706,9.03529,14.487423,-11.238947,-8.705248,14.216022,175.0,0.085759,0.330042,8.28,False
LT_101-103_A2,True,102.0,106.0,A5,8.885533,-9.805295,13.232404,-8.813426,10.082189,13.391303,175.0,0.072108,0.276894,7.56,False
LT_101-103_A2,True,103.0,109.0,A6,-53.175056,3.965081,53.322685,54.19656,-0.043824,54.196578,175.0,1.021504,3.921257,30.47,False
LT_101-103_A2,True,103.0,124.0,A7,-27.228207,-20.492359,34.07803,27.255002,21.617776,34.787403,400.0,0.026796,1.125417,8.52,False
LT_101-103_A2,True,104.0,109.0,A8,-21.815731,5.098128,22.403503,21.971854,-4.496767,22.427288,175.0,0.156123,0.601361,12.8,False
LT_101-103_A2,True,105.0,110.0,A9,-23.522694,-10.65123,25.821812,23.682125,11.261228,26.223239,175.0,0.159431,0.609998,14.76,False
LT_101-103_A2,True,106.0,110.0,10,-51.935707,-112.400261,123.818954,52.33692,114.148404,125.574725,175.0,0.401213,1.748144,70.75,False
LT_101-103_A2,True,107.0,108.0,11,77.369171,1.346589,77.38089,-76.336723,2.589621,76.380635,175.0,1.032449,3.93621,44.22,False
LT_101-103_A2,True,107.0,203.0,B1,149.035446,-1.492742,149.042923,-138.986604,40.013304,144.631741,175.0,10.048842,38.520561,85.17,False
LT_101-103_A2,True,108.0,109.0,1,1.392435,1.118992,1.786342,-1.386784,-1.097309,1.768405,175.0,0.005651,0.021683,1.02,False
LT_101-103_A2,True,108.0,110.0,2,-1.438813,-17.78544,17.843544,1.557886,18.242346,18.308746,175.0,0.119072,0.456905,10.2,False
LT_101-103_A2,True,109.0,111.0,14,-62.188053,-0.419699,62.189472,62.274769,4.061744,62.407087,400.0,0.086715,3.642045,15.55,False
LT_101-103_A2,True,109.0,112.0,15,-90.763428,-0.670267,90.7659,90.948145,8.428398,91.337851,400.0,0.184717,7.758131,22.69,False
LT_101-103_A2,True,110.0,111.0,16,-67.536224,39.615479,78.297684,67.664265,-34.237778,75.833226,400.0,0.12804,5.3777,19.57,False
LT_101-103_A2,True,110.0,112.0,17,-97.144249,39.464825,104.854561,97.373877,-29.820466,101.837773,400.0,0.229628,9.644359,26.21,False
LT_101-103_A2,True,111.0,113.0,18,-244.241425,38.306118,247.227097,248.348402,-5.450302,248.408201,500.0,4.106977,32.855816,49.45,False
LT_101-103_A2,True,111.0,114.0,19,114.302406,-8.130082,114.591179,-113.574193,14.247078,114.464302,500.0,0.728214,6.116996,22.92,False
LT_101-103_A2,True,112.0,113.0,20,-196.031418,31.523245,198.54982,198.670271,-10.41242,198.942944,500.0,2.638853,21.110825,39.71,False
LT_101-103_A2,True,112.0,123.0,21,7.709397,-10.131177,12.73089,-7.701378,10.195997,12.777699,500.0,0.008019,0.06482,2.55,False
LT_101-103_A2,True,113.0,123.0,22,118.233849,-16.777033,119.418213,-116.521068,30.323571,120.402152,500.0,1.712781,13.546538,23.88,False
LT_101-103_A2,True,113.0,215.0,B2,319.610748,-19.287895,320.19223,-308.275694,104.300804,325.442101,500.0,11.335054,85.012909,64.04,False
LT_101-103_A2,True,114.0,116.0,23,26.917356,-23.7864,35.921261,-26.854107,24.532749,36.373051,500.0,0.06325,0.746349,7.18,False
LT_101-103_A2,True,115.0,116.0,24,-103.745522,42.016766,111.930969,104.019569,-39.687361,111.333541,500.0,0.274048,2.329404,22.39,False
LT_101-103_A2,True,115.0,121.0,1,-1.593843,-8.0767,8.232462,1.594721,8.083867,8.239662,500.0,0.000878,0.007166,1.65,False
LT_101-103_A2,True,115.0,121.0,2,-1.593843,-8.0767,8.232462,1.594721,8.083867,8.239662,500.0,0.000878,0.007166,1.65,False
LT_101-103_A2,True,115.0,124.0,26,27.334171,12.243359,29.950905,-27.255003,-11.655249,29.642537,500.0,0.079169,0.588109,5.99,False
LT_101-103_A2,True,116.0,117.0,27,29.52384,-18.911118,35.061195,-29.486424,19.235391,35.205816,500.0,0.037416,0.324273,7.01,False
LT_101-103_A2,True,116.0,119.0,28,-89.357811,36.29089,96.446083,89.668475,-33.909135,95.865869,500.0,0.310664,2.381754,19.29,False
LT_101-103_A2,True,117.0,118.0,29,24.128082,5.297118,24.702709,-24.114476,-5.201872,24.669159,500.0,0.013607,0.095246,4.94,False
LT_101-103_A2,True,117.0,122.0,30,5.358339,-19.484257,20.207623,-5.340822,19.61564,20.329725,500.0,0.017518,0.131383,4.04,False
LT_101-103_A2,True,118.0,121.0,1,22.684246,-23.706331,32.81105,-22.652785,23.978993,32.986979,500.0,0.031461,0.272662,6.56,False
LT_101-103_A2,True,118.0,121.0,2,22.684246,-23.706331,32.81105,-22.652785,23.978993,32.986979,500.0,0.031461,0.272662,6.56,False
LT_101-103_A2,True,119.0,120.0,1,-85.259201,10.916939,85.955276,85.673771,-7.600378,86.010237,500.0,0.41457,3.316561,17.19,False
LT_101-103_A2,True,119.0,120.0,2,-85.259201,10.916939,85.955276,85.673771,-7.600378,86.010237,500.0,0.41457,3.316561,17.19,False
LT_101-103_A2,True,120.0,123.0,1,-114.261604,9.277662,114.637634,114.700707,-6.057572,114.860552,500.0,0.439103,3.22009,22.93,False
LT_101-103_A2,True,120.0,123.0,2,-114.261604,9.277662,114.637634,114.700707,-6.057572,114.860552,500.0,0.439103,3.22009,22.93,False
LT_101-103_A2,True,121.0,122.0,34,-5.332558,-14.143363,15.115253,5.340847,14.205992,15.176787,500.0,0.008289,0.062629,3.02,False
LT_101-103_A2,True,121.0,325.0,1,443.448639,49.557079,446.209137,-417.575598,159.583347,447.030452,500.0,25.873041,209.140427,89.24,False
LT_101-103_A2,True,123.0,217.0,B3,162.82106,-49.779926,170.260803,-159.683817,72.995525,175.576958,500.0,3.137243,23.215599,34.05,False
LT_101-103_A2,True,201.0,202.0,B1,14.116708,-30.945105,34.012951,-14.106976,30.990519,34.050243,175.0,0.009732,0.045415,19.44,False
LT_101-103_A2,True,201.0,203.0,B2,-56.695801,28.409851,63.415562,59.207719,-18.773219,62.112702,175.0,2.511918,9.636632,36.24,False
LT_101-103_A2,True,201.0,205.0,B3,23.757601,-9.749745,25.680367,-23.603609,10.344714,25.770981,175.0,0.153992,0.594968,14.67,False
LT_101-103_A2,True,202.0,204.0,B4,6.995318,12.022844,13.909825,-6.911278,-11.699418,13.588309,175.0,0.08404,0.323426,7.95,False
LT_101-103_A2,True,202.0,206.0,B5,19.397993,-11.741577,22.674805,-19.14489,12.713492,22.981726,175.0,0.253103,0.971915,12.96,False
LT_101-103_A2,True,203.0,209.0,B6,85.208084,-21.882797,87.973145,-82.463939,32.416772,88.606706,175.0,2.744145,10.533975,50.27,False
LT_101-103_A2,True,203.0,224.0,B7,-93.970047,-8.527173,94.356148,94.175272,17.146605,95.723497,400.0,0.205225,8.619431,23.59,False
LT_101-103_A2,True,204.0,209.0,B8,-29.488846,7.370937,30.396097,29.779102,-6.252913,30.428504,175.0,0.290256,1.118024,17.37,False
LT_101-103_A2,True,205.0,210.0,B9,-11.32084,-15.122384,18.890419,11.402074,15.433195,19.188298,175.0,0.081235,0.31081,10.79,False
LT_101-103_A2,True,206.0,210.0,10,-47.752644,-115.163788,124.671623,48.094122,116.65166,126.177076,175.0,0.341479,1.487872,71.24,False
LT_101-103_A2,True,207.0,208.0,11,-17.486696,23.69718,29.450651,17.647013,-23.085972,29.058203,175.0,0.160317,0.611208,16.83,False
LT_101-103_A2,True,208.0,209.0,1,-58.899818,17.747669,61.515594,60.788001,-10.502318,61.68857,175.0,1.888182,7.245351,35.15,False
LT_101-103_A2,True,208.0,210.0,2,-42.861004,-10.363997,44.096233,43.794467,13.945892,45.961324,175.0,0.933464,3.581895,25.2,False
LT_101-103_A2,True,209.0,211.0,14,-51.218361,-10.091677,52.203091,51.28051,12.701935,52.830198,400.0,0.062149,2.610258,13.05,False
LT_101-103_A2,True,209.0,212.0,15,-42.966171,-14.079875,45.214321,43.012794,16.038012,45.905536,400.0,0.046622,1.958137,11.3,False
LT_101-103_A2,True,210.0,211.0,16,-103.795753,38.443268,110.686241,104.053815,-27.604672,107.653214,400.0,0.258062,10.838595,27.67,False
LT_101-103_A2,True,210.0,212.0,17,-95.414154,33.893578,101.255295,95.630113,-24.823287,98.799363,400.0,0.215959,9.070291,25.31,False
LT_101-103_A2,True,211.0,213.0,18,-54.497345,-1.376515,54.514725,54.696393,2.968898,54.776909,500.0,0.199048,1.592383,10.9,False
LT_101-103_A2,True,211.0,214.0,19,-100.836967,16.27936,102.142609,101.425796,-11.333202,102.057011,500.0,0.588828,4.946157,20.43,False
LT_101-103_A2,True,212.0,213.0,20,-68.749344,6.94167,69.098907,69.071769,-4.362273,69.209383,500.0,0.322425,2.579397,13.82,False
LT_101-103_A2,True,212.0,223.0,21,-69.893555,1.843479,69.917862,70.558141,3.528597,70.646318,500.0,0.664587,5.372075,13.98,False
LT_101-103_A2,True,213.0,223.0,22,-40.119976,-3.596617,40.280869,40.318759,5.168807,40.648725,500.0,0.198783,1.57219,8.06,False
LT_101-103_A2,True,214.0,216.0,23,-196.853165,0.032148,196.853165,199.022748,25.568941,200.658479,500.0,2.169584,25.601089,39.37,False
LT_101-103_A2,True,215.0,216.0,24,221.443939,-29.524719,223.403503,-220.363035,38.712405,223.737609,500.0,1.080904,9.187686,44.68,False
LT_101-103_A2,True,215.0,221.0,1,-59.990398,-36.521122,70.232758,60.290393,38.971076,71.78911,500.0,0.299994,2.449955,14.05,False
