Bus#,Name,Type,Area,Zone,Volt(kV),Volt(pu),Angle(deg),Angle(rad),VoltMin,VoltMax
213,BARLOW      ,2,2,24,218.5,0.949999988079071,-26.127365112304688,-0.4560084044933319,0.949999988079071,1.0499999523162842
214,BARRY       ,2,2,26,217.39157104492188,0.9451807141304016,-25.027803421020508,-0.4368174076080322,0.949999988079071,1.0499999523162842
215,BARTON      ,2,2,26,220.81295776367188,0.9600563645362854,-15.298955917358398,-0.26701706647872925,0.949999988079071,1.0499999523162842
216,BASOV       ,2,2,26,221.0763397216797,0.9612014889717102,-17.668516159057617,-0.30837365984916687,0.949999988079071,1.0499999523162842
217,BATES       ,1,2,27,224.4871368408203,0.9760310053825378,-14.312579154968262,-0.24980154633522034,0.949999988079071,1.0499999523162842
218,BAYLE       ,2,2,27,227.14389038085938,0.9875821471214294,-13.99892520904541,-0.24432724714279175,0.949999988079071,1.0499999523162842
219,BEDE        ,1,2,25,218.96571350097656,0.9520248174667358,-21.213388442993164,-0.3702433407306671,0.949999988079071,1.0499999523162842
220,BEETHOVEN   ,1,2,25,218.64242553710938,0.9506192207336426,-23.21456527709961,-0.4051704704761505,0.949999988079071,1.0499999523162842
221,BEHRING     ,2,2,27,225.50140380859375,0.9804409146308899,-13.621992111206055,-0.23774853348731995,0.949999988079071,1.0499999523162842
222,BELL        ,1,2,27,226.7982940673828,0.9860795140266418,-13.9501314163208,-0.24347564578056335,0.949999988079071,1.0499999523162842
223,BLOCH       ,2,2,25,218.7642059326172,0.9511487483978271,-23.879451751708984,-0.4167749285697937,0.949999988079071,1.0499999523162842
224,BORDET      ,1,2,26,217.34585571289062,0.9449819922447205,-18.344619750976562,-0.32017388939857483,0.949999988079071,1.0499999523162842
301,CABELL      ,2,3,31,133.38796997070312,0.9665794968605042,-68.95308685302734,-1.2034579515457153,0.949999988079071,1.0499999523162842
302,CABOT       ,2,3,32,133.63504028320312,0.9683698415756226,-69.1056900024414,-1.2061214447021484,0.949999988079071,1.0499999523162842
303,CAESAR      ,1,3,31,129.80589294433594,0.9406224489212036,-62.96263122558594,-1.0989048480987549,0.949999988079071,1.0499999523162842
304,CAINE       ,1,3,31,130.37167358398438,0.9447222948074341,-68.12722778320312,-1.1890439987182617,0.949999988079071,1.0499999523162842
305,CALVIN      ,1,3,31,133.1712188720703,0.9650087952613831,-68.86740112304688,-1.2019624710083008,0.949999988079071,1.0499999523162842
306,CAMUS       ,1,3,32,133.9142303466797,0.9703929424285889,-69.56209564208984,-1.2140872478485107,0.949999988079071,1.0499999523162842
307,CAREW       ,2,3,32,131.3829345703125,0.9520502686500549,-75.05189514160156,-1.3099021911621094,0.949999988079071,1.0499999523162842
308,CARREL      ,1,3,32,129.16835021972656,0.9360024929046631,-73.2718734741211,-1.2788349390029907,0.949999988079071,1.0499999523162842
309,CARTER      ,1,3,33,130.92311096191406,0.9487181901931763,-64.27096557617188,-1.1217396259307861,0.949999988079071,1.0499999523162842
310,CARUSO      ,1,3,33,135.41905212402344,0.981297492980957,-66.44990539550781,-1.1597692966461182,0.949999988079071,1.0499999523162842
311,CARY        ,1,3,33,221.4332275390625,0.962753176689148,-59.00431823730469,-1.0298192501068115,0.949999988079071,1.0499999523162842
312,CAXTON      ,1,3,33,221.31077575683594,0.9622207880020142,-57.1042366027832,-0.996656596660614,0.949999988079071,1.0499999523162842
313,CECIL       ,2,3,34,228.2191925048828,0.9922573566436768,-54.934322357177734,-0.9587844610214233,0.949999988079071,1.0499999523162842
314,CHAIN       ,2,3,36,218.7057647705078,0.9508946537971497,-56.247684478759766,-0.981706976890564,0.949999988079071,1.0499999523162842
315,CHASE       ,2,3,36,223.49435424804688,0.9717146158218384,-48.27750015258789,-0.8426010608673096,0.949999988079071,1.0499999523162842
316,CHIFA       ,2,3,36,221.09303283691406,0.9612740874290466,-47.84140396118164,-0.8349897265434265,0.949999988079071,1.0499999523162842
317,CHUHSI      ,1,3,37,229.46041870117188,0.9976539611816406,-45.12950134277344,-0.7876580953598022,0.949999988079071,1.0499999523162842
318,CLARK       ,2,3,37,232.6536865234375,1.011537790298462,-43.904598236083984,-0.7662795186042786,0.949999988079071,1.0499999523162842
319,CLAY        ,1,3,35,220.58685302734375,0.9590732455253601,-46.701107025146484,-0.8150877952575684,0.949999988079071,1.0499999523162842
320,CLIVE       ,1,3,35,221.718994140625,0.963995635509491,-44.29615020751953,-0.7731133699417114,0.949999988079071,1.0499999523162842
321,COBB        ,2,3,37,233.61412048339844,1.0157135725021362,-44.58538818359375,-0.7781615853309631,0.949999988079071,1.0499999523162842
322,COLE        ,2,3,37,238.2606658935547,1.0359159708023071,-43.99043655395508,-0.767777681350708,0.949999988079071,1.0499999523162842
323,COMTE       ,2,3,35,223.0401611328125,0.9697398543357849,-42.43935775756836,-0.7407062649726868,0.949999988079071,1.0499999523162842
324,CURIE       ,1,3,36,217.9734649658203,0.9477106928825378,-53.744136810302734,-0.9380118250846863,0.949999988079071,1.0499999523162842
325,CURTISS     ,1,3,35,219.79917907714844,0.9556486010551453,-40.112998962402344,-0.7001036405563354,0.949999988079071,1.0499999523162842
