+------+------------------------------------+------------------+------------------+------------------+------------------+
|  #   |            Contingency             |  Bus Violations  | Line Violations  |  Gen Violations  |    Converged     |
|  84  | LT_301-305_C3                      |        23        |        0         |        31        |       YES        |
|  85  | LT_302-304_C4                      |        22        |        0         |        31        |       YES        |
|  86  | LT_302-306_C5                      |        21        |        0         |        31        |       YES        |
|  87  | LT_303-309_C6                      |        21        |        0         |        31        |       YES        |
|  88  | LT_303-324_C7                      |        -         |        -         |        -         |        NO        |
|  89  | LT_304-309_C8                      |        22        |        0         |        31        |       YES        |
|  90  | LT_305-310_C9                      |        21        |        0         |        31        |       YES        |
|  91  | LT_306-310_10                      |        35        |        0         |        32        |       YES        |
|  92  | LT_307-308_11                      |        -         |        -         |        -         |        NO        |
|  93  | LT_308-309_1                       |        25        |        0         |        31        |       YES        |
|  94  | LT_308-310_2                       |        22        |        0         |        31        |       YES        |
|  95  | LT_309-311_14                      |        -         |        -         |        -         |        NO        |
|  96  | LT_309-312_15                      |        -         |        -         |        -         |        NO        |
|  97  | LT_310-311_16                      |        -         |        -         |        -         |        NO        |
|  98  | LT_310-312_17                      |        -         |        -         |        -         |        NO        |
|  99  | LT_311-313_18                      |        22        |        0         |        31        |       YES        |
| 100  | LT_311-314_19                      |        23        |        0         |        31        |       YES        |
| 101  | LT_312-313_20                      |        21        |        0         |        31        |       YES        |
| 102  | LT_312-323_21                      |        26        |        0         |        31        |       YES        |
| 103  | LT_313-323_22                      |        22        |        0         |        31        |       YES        |
| 104  | LT_314-316_23                      |        32        |        3         |        31        |       YES        |
| 105  | LT_315-316_24                      |        20        |        0         |        31        |       YES        |
| 106  | LT_315-321_1                       |        20        |        0         |        31        |       YES        |
| 107  | LT_315-321_2                       |        20        |        0         |        31        |       YES        |
| 108  | LT_315-324_26                      |        35        |        0         |        32        |       YES        |
| 109  | LT_316-317_27                      |        22        |        0         |        31        |       YES        |
| 110  | LT_316-319_28                      |        21        |        0         |        31        |       YES        |
| 111  | LT_317-318_29                      |        22        |        0         |        31        |       YES        |
| 112  | LT_317-322_30                      |        20        |        0         |        31        |       YES        |
| 113  | LT_318-321_1                       |        20        |        0         |        31        |       YES        |
| 114  | LT_318-321_2                       |        20        |        0         |        31        |       YES        |
| 115  | LT_319-320_1                       |        21        |        0         |        31        |       YES        |
| 116  | LT_319-320_2                       |        21        |        0         |        31        |       YES        |
| 117  | LT_320-323_1                       |        21        |        0         |        31        |       YES        |
| 118  | LT_320-323_2                       |        21        |        0         |        31        |       YES        |
| 119  | LT_321-322_34                      |        20        |        0         |        31        |       YES        |
| 120  | LT_323-325_35                      |        61        |        3         |        32        |       YES        |
+------+------------------------------------+------------------+------------------+------------------+------------------+
| TOTAL | 120 contingencies                  |       2321       |        61        |       3199       |     103/120      |
+------+------------------------------------+------------------+------------------+------------------+------------------+
